uid;____;______ _____;______ ____;_____ _____;_____ ____
10Ê170Ê632;01.02.2016 10:29;_____ ______ 50;300;_____ ______ 70;350
10Ê170Ê632;30.03.2016 14:18;_____ ______ 70;350;_____ ______ 50;300
10Ê092Ê186;20.09.2014 19:03;______ _____ 500 _________;380;________;400
10Ê092Ê186;30.03.2016 14:20;________;400;___ _________;0
10Ê174Ê597;30.03.2016 14:25;___ _________;0;_____ ______ 50;300
10Ê072Ê098;15.04.2015 10:23;___ _________;0;________;400
10Ê072Ê098;30.03.2016 14:26;________;400;___ _________;0
10Ê174Ê066;30.03.2016 14:36;___ _________;0;_____ ______ 70;350
10Ê174Ê497;30.03.2016 14:45;___ _________;0;________ 2015;399
10Ê121Ê980;30.03.2016 15:03;___ _________;0;_____ ______ 70;350
10Ê071Ê390;09.01.2013 13:49;___ _________;0;______ _____ 500 _________;380
10Ê071Ê390;30.03.2016 15:08;______ _____ 500 _________;380;___ _________;0
10Ê140Ê432;30.03.2016 15:32;___ _________;0;________ 2015;399
10Ê064Ê507;30.03.2016 15:42;___ _________;0;________ 2015;399
10Ê167Ê264;16.11.2015 11:48;___ _________;0;________ 2015;399
10Ê167Ê264;30.03.2016 15:52;________ 2015;399;___ _________;0
10Ê174Ê583;30.03.2016 16:17;___ _________;0;_____ ______ 50;300
10Ê174Ê608;30.03.2016 16:23;___ _________;0;_____ ______ 70;350
10Ê069Ê388;30.03.2016 16:24;___ _________;0;_____ ______ 50;300
10Ê174Ê574;30.03.2016 16:24;___ _________;0;________ 2015;399
10Ê174Ê585;30.03.2016 16:39;___ _________;0;_____ ______ 70;350
10Ê174Ê453;30.03.2016 16:57;___ _________;0;_____ ______ 50;300
10Ê136Ê573;30.03.2016 17:25;___ _________;0;_____ ______ 70;350
10Ê174Ê518;30.03.2016 17:39;___ _________;0;________ 2015;399
10Ê174Ê485;30.03.2016 18:10;___ _________;0;________ 2015;399
10Ê174Ê469;30.03.2016 18:15;___ _________;0;_____ ______ 70;350
10Ê174Ê532;30.03.2016 18:23;___ _________;0;________ 2015;399
10Ê025Ê914;30.03.2016 18:25;___ _________;0;___________ 50;250
10Ê174Ê475;30.03.2016 18:52;___ _________;0;________ 2015;399
10Ê174Ê486;30.03.2016 19:11;___ _________;0;________ 2015;399
10Ê161Ê197;30.03.2016 19:12;___ _________;0;___________ 50;250
10Ê066Ê232;04.03.2014 19:42;___ _________;0;______ _____ 500 _________;380
10Ê174Ê611;30.03.2016 19:51;___ _________;0;_____ ______ 50;300
10Ê173Ê994;30.03.2016 20:00;___ _________;0;_____ ______ 50;300
10Ê174Ê287;31.03.2016 11:07;___ _________;0;_____ ______ 50;300
10Ê029Ê627;24.01.2016 14:03;___ _________;0;________ 2015;399
10Ê171Ê467;31.03.2016 11:20;___ _________;0;_____ ______ 50;300
10Ê174Ê668;31.03.2016 11:22;___ _________;0;________ 2015;399
10Ê174Ê580;31.03.2016 11:52;___ _________;0;_____ ______ 70;350
10Ê174Ê182;31.03.2016 12:08;___ _________;0;_____ ______ 50;300
10Ê174Ê451;31.03.2016 12:29;___ _________;0;_____ ______ 50;300
10Ê039Ê083;31.03.2016 12:29;___ _________;0;_____ ______ 50;300
10Ê098Ê068;31.03.2016 13:12;___ _________;0;_____ ______ 50;300
10Ê138Ê164;21.05.2016 11:23;___ _________;0;________;400
10Ê002Ê210;12.09.2016 9:48;_______ _______ 70;350;___ _________;0
10Ê066Ê851;31.03.2016 14:15;___ _________;0;_____ ______ 50;300
10Ê089Ê606;31.03.2016 14:18;___ _________;0;_____ ______ 70;350
10Ê035Ê495;31.03.2016 14:25;___ _________;0;_____ ______ 50;300
10Ê159Ê609;31.03.2016 14:48;___ _________;0;_____ ______ 50;300
10Ê174Ê499;31.03.2016 14:57;___ _________;0;_____ ______ 50;300
10Ê174Ê525;31.03.2016 15:09;___ _________;0;_____ ______ 50;300
10Ê174Ê208;31.03.2016 15:10;___ _________;0;________ 2015;399
10Ê173Ê229;31.03.2016 15:17;___ _________;0;_____ ______ 50;300
10Ê174Ê653;31.03.2016 15:19;___ _________;0;________ 2015;399
10Ê174Ê181;31.03.2016 15:54;___ _________;0;_____ ______ 50;300
10Ê165Ê062;31.03.2016 16:10;___ _________;0;________ 2015;399
10Ê174Ê589;31.03.2016 16:13;___ _________;0;________ 2015;399
10Ê134Ê985;26.06.2014 17:16;___ _________;0;______ _____ 500 _________;380
10Ê134Ê985;31.03.2016 16:32;______ _____ 500 _________;380;___ _________;0
10Ê174Ê552;31.03.2016 16:33;___ _________;0;_____ ______ 50;300
10Ê064Ê588;20.10.2014 15:47;______ _____ 600 _________;480;________;400
10Ê064Ê588;31.03.2016 16:35;________;400;___ _________;0
10Ê035Ê653;31.03.2016 16:35;___ _________;0;_____ ______ 70;350
10Ê177Ê286;03.06.2016 10:08;_______;300;_____ ______ 50;300
10Ê034Ê946;31.03.2016 17:31;___ _________;0;_____ ______ 50;300
10Ê174Ê652;31.03.2016 17:46;___ _________;0;________ 2015;399
10Ê138Ê164;23.05.2016 11:38;________;400;________ 2015;399
10Ê174Ê613;31.03.2016 18:58;___ _________;0;_____ ______ 50;300
10Ê166Ê990;31.03.2016 19:02;___ _________;0;________ 2015;399
10Ê076Ê812;31.03.2016 19:07;___ _________;0;_____ ______ 50;300
10Ê174Ê640;31.03.2016 19:21;___ _________;0;_____ ______ 50;300
10Ê174Ê615;31.03.2016 19:27;___ _________;0;________ 2015;399
10Ê174Ê112;31.03.2016 19:30;___ _________;0;_____ ______ 50;300
10Ê174Ê658;31.03.2016 19:40;___ _________;0;_____ ______ 50;300
10Ê174Ê342;31.03.2016 19:52;___ _________;0;_____ ______ 50;300
10Ê174Ê309;31.03.2016 20:15;___ _________;0;_____ ______ 50;300
10Ê174Ê676;31.03.2016 20:54;___ _________;0;________ 2015;399
10Ê147Ê642;07.10.2016 9:58;________ 2015;399;_________ 200;200
10Ê174Ê666;01.04.2016 14:34;___ _________;0;________ 2015;399
10Ê174Ê661;01.04.2016 14:45;___ _________;0;_____ ______ 70;350
10Ê174Ê722;01.04.2016 15:19;___ _________;0;_____ ______ 70;350
10Ê174Ê726;01.04.2016 15:31;___ _________;0;________ 2015;399
10Ê174Ê719;01.04.2016 15:34;___ _________;0;________ 2015;399
10Ê138Ê703;10.01.2017 12:08;_______ _______ 70;350;___ _________;0
10Ê143Ê191;01.04.2016 15:47;___ _________;0;_____ ______ 50;300
10Ê174Ê664;01.04.2016 16:32;___ _________;0;_____ ______ 70;350
10Ê174Ê693;01.04.2016 17:02;___ _________;0;_____ ______ 50;300
10Ê055Ê730;01.04.2016 17:07;___ _________;0;________ 2015;399
10Ê174Ê740;01.04.2016 17:12;___ _________;0;________ 2015;399
10Ê174Ê715;01.04.2016 17:14;___ _________;0;________ 2015;399
10Ê174Ê698;01.04.2016 17:52;___ _________;0;________ 2015;399
10Ê171Ê749;02.02.2016 13:25;___ _________;0;_____ ______ 70;350
10Ê171Ê749;01.04.2016 17:59;_____ ______ 70;350;___________ 50;250
10Ê064Ê588;01.04.2016 18:14;___ _________;0;________;400
10Ê174Ê727;01.04.2016 18:17;___ _________;0;_____ ______ 50;300
10Ê174Ê673;01.04.2016 18:36;___ _________;0;_____ ______ 50;300
10Ê184Ê756;15.11.2016 11:08;___ _________;0;________ 2015;399
10Ê174Ê711;01.04.2016 18:40;___ _________;0;________ 2015;399
10Ê172Ê827;01.04.2016 18:52;___ _________;0;________ 2015;399
10Ê174Ê655;01.04.2016 19:39;___ _________;0;_____ ______ 70;350
10Ê134Ê988;01.04.2016 19:58;___ _________;0;________ 2015;399
10Ê034Ê350;01.04.2016 20:06;___ _________;0;_____ ______ 70;350
10Ê171Ê249;01.04.2016 20:08;___ _________;0;________ 2015;399
10Ê183Ê058;12.10.2016 12:00;___ _________;0;_____ ______ 70;350
10Ê173Ê038;28.02.2016 18:19;___ _________;0;_____ ______ 50;300
10Ê073Ê129;02.04.2016 20:54;___ _________;0;________ 2015;399
10Ê156Ê717;27.12.2016 12:01;_____ ______ 70;350;___ _________;0
10Ê092Ê836;19.11.2016 13:05;___ _________;0;_____ ______ 50;300
10Ê159Ê589;03.04.2016 18:50;___ _________;0;________ 2015;399
10Ê023Ê747;03.04.2016 20:25;___ _________;0;________ 2015;399
10Ê072Ê287;31.03.2016 12:38;___ _________;0;_____ ______ 50;300
10Ê072Ê287;04.04.2016 9:10;_____ ______ 50;300;___ _________;0
10Ê174Ê806;04.04.2016 9:18;___ _________;0;________ 2015;399
10Ê082Ê618;13.04.2013 12:13;___ _________;0;______ _____ 500 _________;380
10Ê082Ê618;04.04.2016 9:19;______ _____ 500 _________;380;___ _________;0
10Ê068Ê417;04.04.2016 9:28;___ _________;0;___________ 50;250
10Ê174Ê203;23.03.2016 13:22;___ _________;0;______ _____ 500 _________;380
10Ê174Ê203;04.04.2016 9:33;______ _____ 500 _________;380;___________ 50;250
10Ê024Ê099;04.04.2016 9:40;___ _________;0;________ 2015;399
10Ê069Ê994;04.04.2016 10:05;___ _________;0;_____ ______ 50;300
10Ê030Ê907;04.04.2016 10:19;___ _________;0;________ 2015;399
10Ê174Ê821;04.04.2016 10:38;___ _________;0;_____ ______ 50;300
10Ê021Ê943;04.04.2016 10:59;_____ ______ 70;350;___________ 50;250
10Ê180Ê809;26.08.2016 11:23;___ _________;0;________ 2015;399
10Ê036Ê423;04.04.2016 11:23;___ _________;0;_____ ______ 50;300
10Ê178Ê054;13.06.2016 11:58;___ _________;0;________ 2015;399
10Ê174Ê484;04.04.2016 11:48;___ _________;0;_____ ______ 50;300
10Ê167Ê489;18.11.2015 20:00;___ _________;0;________ 2015;399
10Ê174Ê878;04.04.2016 12:07;___ _________;0;________ 2015;399
10Ê174Ê807;04.04.2016 12:22;___ _________;0;_____ ______ 70;350
10Ê174Ê876;04.04.2016 12:32;___ _________;0;_____ ______ 50;300
10Ê174Ê868;04.04.2016 12:36;___ _________;0;________ 2015;399
10Ê087Ê310;04.04.2016 12:42;___ _________;0;_____ ______ 70;350
10Ê174Ê884;04.04.2016 13:36;___ _________;0;________ 2015;399
10Ê062Ê039;13.09.2016 10:49;_______ _______ 70;350;___ _________;0
10Ê070Ê174;04.04.2016 13:42;___ _________;0;_____ ______ 50;300
10Ê179Ê293;20.07.2016 14:22;___ _________;0;________ 2015;399
10Ê177Ê144;02.06.2016 11:34;___ _________;0;________;400
10Ê072Ê275;04.04.2016 14:02;___ _________;0;_____ ______ 50;300
10Ê174Ê547;04.04.2016 14:04;___ _________;0;________ 2015;399
10Ê134Ê827;04.04.2016 14:19;___ _________;0;________ 2015;399
10Ê167Ê264;02.04.2016 8:57;___ _________;0;________ 2015;399
10Ê167Ê264;04.04.2016 14:27;________ 2015;399;___________ 50;250
10Ê174Ê749;04.04.2016 14:32;___ _________;0;________ 2015;399
10Ê181Ê383;04.09.2016 14:10;___ _________;0;________;400
10Ê174Ê826;04.04.2016 15:05;___ _________;0;________ 2015;399
10Ê132Ê296;24.11.2015 15:37;_______;300;_____ ______ 50;300
10Ê132Ê296;04.04.2016 16:29;_____ ______ 50;300;___ _________;0
10Ê112Ê630;21.01.2015 13:20;___ _________;0;________;400
10Ê112Ê630;04.04.2016 16:47;________;400;___ _________;0
10Ê065Ê806;04.04.2016 17:11;___ _________;0;_____ ______ 50;300
10Ê018Ê671;28.03.2016 9:57;______ _____ 500 _________;380;_____ ______ 70;350
10Ê130Ê053;04.04.2016 18:12;___ _________;0;________ 2015;399
10Ê173Ê310;04.04.2016 18:15;___ _________;0;_____ ______ 50;300
10Ê174Ê815;04.04.2016 18:35;___ _________;0;_____ ______ 50;300
10Ê174Ê834;04.04.2016 18:39;___ _________;0;_____ ______ 50;300
10Ê174Ê848;04.04.2016 18:53;___ _________;0;________ 2015;399
10Ê174Ê855;04.04.2016 19:08;___ _________;0;_____ ______ 70;350
10Ê001Ê508;04.04.2016 19:49;___ _________;0;_____ ______ 50;300
10Ê174Ê822;04.04.2016 20:59;___ _________;0;________ 2015;399
10Ê068Ê417;24.01.2014 11:40;_______;300;______ _____ 500 _________;380
10Ê068Ê417;05.04.2016 10:45;______ _____ 500 _________;380;___ _________;0
10Ê171Ê491;29.01.2016 11:50;___ _________;0;_____ ______ 70;350
10Ê171Ê491;05.04.2016 10:48;_____ ______ 70;350;___________ 50;250
10Ê002Ê678;05.04.2016 11:08;___ _________;0;_____ ______ 50;300
10Ê174Ê763;05.04.2016 11:24;___ _________;0;_____ ______ 70;350
10Ê018Ê671;04.04.2016 17:53;_____ ______ 70;350;_____ ______ 50;300
10Ê174Ê888;05.04.2016 11:50;___ _________;0;_____ ______ 50;300
10Ê178Ê100;18.09.2016 11:13;___ _________;0;_____ ______ 70;350
10Ê088Ê755;30.09.2015 12:52;___ _________;0;_____ ______ 70;350
10Ê088Ê755;05.04.2016 11:59;_____ ______ 70;350;___ _________;0
10Ê174Ê830;04.04.2016 10:43;___ _________;0;_____ ______ 70;350
10Ê174Ê830;05.04.2016 12:30;_____ ______ 70;350;_____ ______ 50;300
10Ê174Ê931;05.04.2016 12:43;___ _________;0;_____ ______ 50;300
10Ê013Ê856;24.03.2016 15:43;___ _________;0;_____ ______ 50;300
10Ê013Ê856;05.04.2016 13:22;_____ ______ 50;300;___ _________;0
10Ê080Ê845;12.03.2015 17:21;___ _________;0;________;400
10Ê080Ê845;05.04.2016 13:27;________;400;___ _________;0
10Ê082Ê490;05.04.2016 13:45;_______;300;___ _________;0
10Ê174Ê387;05.04.2016 14:39;___ _________;0;_____ ______ 50;300
10Ê085Ê555;05.04.2016 15:03;___ _________;0;_____ ______ 70;350
10Ê174Ê926;05.04.2016 15:04;___ _________;0;_____ ______ 50;300
10Ê072Ê287;05.04.2016 15:06;___ _________;0;_____ ______ 50;300
10Ê174Ê914;05.04.2016 15:54;___ _________;0;_____ ______ 50;300
10Ê174Ê838;05.04.2016 16:13;___ _________;0;_____ ______ 50;300
10Ê174Ê852;05.04.2016 16:16;___ _________;0;________ 2015;399
10Ê174Ê920;05.04.2016 17:27;___ _________;0;_____ ______ 50;300
10Ê137Ê386;05.04.2016 17:30;___ _________;0;_____ ______ 50;300
10Ê030Ê952;05.04.2016 17:34;___ _________;0;_____ ______ 50;300
10Ê174Ê835;05.04.2016 18:07;___ _________;0;________ 2015;399
10Ê174Ê922;05.04.2016 18:13;___ _________;0;_____ ______ 50;300
10Ê174Ê911;05.04.2016 18:22;___ _________;0;_____ ______ 50;300
10Ê174Ê919;05.04.2016 18:22;___ _________;0;_____ ______ 50;300
10Ê174Ê872;05.04.2016 18:46;___ _________;0;________ 2015;399
10Ê174Ê978;05.04.2016 19:05;___ _________;0;_____ ______ 70;350
10Ê174Ê526;05.04.2016 19:08;___ _________;0;________ 2015;399
10Ê094Ê935;05.04.2016 19:45;___ _________;0;_____ ______ 50;300
10Ê174Ê933;05.04.2016 20:43;___ _________;0;________ 2015;399
10Ê132Ê791;25.09.2016 17:07;___ _________;0;_____ ______ 50;300
10Ê152Ê317;22.12.2016 11:32;________;400;___ _________;0
10Ê174Ê889;06.04.2016 10:01;___ _________;0;________ 2015;399
10Ê038Ê032;06.04.2016 10:50;___ _________;0;________ 2015;399
10Ê174Ê699;05.04.2016 13:42;___ _________;0;_____ ______ 70;350
10Ê174Ê699;06.04.2016 11:22;_____ ______ 70;350;_____ ______ 50;300
10Ê071Ê390;06.04.2016 11:24;___ _________;0;_____ ______ 50;300
10Ê125Ê880;27.12.2016 12:02;___ _________;0;_____ ______ 70;350
10Ê174Ê912;05.04.2016 20:03;___ _________;0;________ 2015;399
10Ê174Ê912;06.04.2016 11:29;________ 2015;399;_________ 200;200
10Ê144Ê895;26.04.2016 0:03;______ _____ 500 _________;380;_______ _______ 70;350
10Ê174Ê977;06.04.2016 11:59;___ _________;0;________ 2015;399
10Ê165Ê548;06.04.2016 12:05;___ _________;0;_______ ________;800
10Ê174Ê990;06.04.2016 12:11;___ _________;0;________ 2015;399
10Ê121Ê997;06.04.2016 12:12;___ _________;0;_____ ______ 50;300
10Ê138Ê410;06.04.2016 12:44;___ _________;0;________ 2015;399
10Ê174Ê969;06.04.2016 12:46;___ _________;0;_____ ______ 70;350
10Ê186Ê364;16.12.2016 11:19;___ _________;0;_____ ______ 70;350
10Ê184Ê755;16.11.2016 11:33;___ _________;0;_____ ______ 70;350
10Ê174Ê859;06.04.2016 12:47;___ _________;0;_____ ______ 70;350
10Ê037Ê833;04.09.2016 14:33;___ _________;0;_____ ______ 70;350
10Ê132Ê296;06.04.2016 13:25;___ _________;0;_____ ______ 50;300
10Ê068Ê180;06.04.2016 13:37;___ _________;0;________ 2015;399
10Ê174Ê991;06.04.2016 14:12;___ _________;0;_____ ______ 50;300
10Ê174Ê993;06.04.2016 14:27;___ _________;0;_____ ______ 70;350
10Ê174Ê973;06.04.2016 14:48;___ _________;0;_____ ______ 70;350
10Ê174Ê963;06.04.2016 15:00;___ _________;0;________ 2015;399
10Ê119Ê418;06.04.2016 15:20;___ _________;0;________ 1 ____;800
10Ê174Ê212;06.04.2016 15:35;___ _________;0;________ 2015;399
10Ê185Ê664;06.12.2016 12:28;___ _________;0;_____ ______ 70;350
10Ê174Ê995;06.04.2016 15:55;___ _________;0;_____ ______ 50;300
10Ê175Ê030;06.04.2016 15:55;___ _________;0;_____ ______ 70;350
10Ê187Ê171;05.01.2017 14:59;___ _________;0;_____ ______ 70;350
10Ê174Ê962;06.04.2016 17:20;___ _________;0;________ 2015;399
10Ê174Ê981;06.04.2016 17:40;___ _________;0;_____ ______ 50;300
10Ê091Ê479;03.12.2015 15:54;______ _____ 500 _________;380;___________ 70;350
10Ê089Ê556;13.12.2016 12:57;___ _________;0;_____ ______ 70;350
10Ê174Ê961;06.04.2016 18:46;___ _________;0;_____ ______ 50;300
10Ê174Ê965;06.04.2016 18:46;___ _________;0;_____ ______ 70;350
10Ê174Ê921;06.04.2016 18:19;___ _________;0;________ 2015;399
10Ê174Ê966;06.04.2016 20:00;___ _________;0;________ 2015;399
10Ê161Ê744;05.08.2016 9:53;___ _________;0;_____ ______ 50;300
10Ê174Ê935;06.04.2016 20:25;___ _________;0;________ 2015;399
10Ê174Ê702;07.04.2016 11:34;___ _________;0;________ 1 ____;800
10Ê174Ê713;07.04.2016 12:42;___ _________;0;________ 2015;399
10Ê185Ê664;06.12.2016 12:29;_____ ______ 70;350;________ 99;399
10Ê021Ê622;07.04.2016 12:56;___ _________;0;________ 2015;399
10Ê174Ê939;07.04.2016 13:04;___ _________;0;_____ ______ 50;300
10Ê175Ê009;07.04.2016 13:09;___ _________;0;_____ ______ 50;300
10Ê134Ê043;07.04.2016 13:30;___ _________;0;_____ ______ 50;300
10Ê155Ê214;07.04.2016 13:37;___ _________;0;________ 2015;399
10Ê180Ê382;17.08.2016 11:40;___ _________;0;_____ ______ 70;350
10Ê153Ê163;07.04.2016 15:08;___ _________;0;_____ ______ 70;350
10Ê136Ê769;07.04.2016 15:12;___ _________;0;_____ ______ 50;300
10Ê175Ê024;07.04.2016 16:59;___ _________;0;_____ ______ 50;300
10Ê175Ê022;07.04.2016 18:21;___ _________;0;_____ ______ 50;300
10Ê161Ê022;07.04.2016 18:40;___ _________;0;_____ ______ 50;300
10Ê158Ê469;01.12.2016 14:22;___________ 50;250;___ _________;0
10Ê175Ê089;07.04.2016 19:13;___ _________;0;_____ ______ 50;300
10Ê064Ê044;07.04.2016 19:31;___ _________;0;_____ ______ 50;300
10Ê174Ê971;07.04.2016 19:46;___ _________;0;_____ ______ 70;350
10Ê027Ê880;07.04.2016 20:15;___ _________;0;_____ ______ 70;350
10Ê174Ê955;07.04.2016 20:44;___ _________;0;_____ ______ 50;300
10Ê118Ê093;23.09.2013 13:20;___ _________;0;______ _____ 500 _________;380
10Ê118Ê093;08.04.2016 11:51;______ _____ 500 _________;380;___ _________;0
10Ê062Ê950;08.04.2016 12:06;___ _________;0;________ 2015;399
10Ê175Ê061;08.04.2016 12:33;___ _________;0;_____ ______ 70;350
10Ê112Ê630;08.04.2016 12:40;___ _________;0;________ 2015;399
10Ê175Ê114;08.04.2016 12:44;___ _________;0;________ 2015;399
10Ê128Ê548;08.04.2016 12:48;___ _________;0;_____ ______ 70;350
10Ê154Ê161;08.04.2016 13:01;___ _________;0;________;400
10Ê175Ê060;08.04.2016 13:10;___ _________;0;_____ ______ 70;350
10Ê175Ê105;08.04.2016 13:14;___ _________;0;_____ ______ 50;300
10Ê083Ê533;08.04.2016 14:14;___ _________;0;_____ ______ 50;300
10Ê057Ê038;08.04.2016 14:27;___ _________;0;________ 2015;399
10Ê175Ê158;08.04.2016 14:44;___ _________;0;_____ ______ 50;300
10Ê058Ê424;08.04.2016 14:46;___ _________;0;_____ ______ 50;300
10Ê043Ê862;08.04.2016 15:36;___ _________;0;_____ ______ 50;300
10Ê175Ê121;08.04.2016 15:46;___ _________;0;________;400
10Ê038Ê389;08.04.2016 17:30;___ _________;0;________ 2015;399
10Ê175Ê109;08.04.2016 18:47;___ _________;0;________ 2015;399
10Ê175Ê104;08.04.2016 19:39;___ _________;0;_____ ______ 70;350
10Ê174Ê107;08.04.2016 20:14;___ _________;0;_____ ______ 50;300
10Ê090Ê663;08.04.2016 20:28;___ _________;0;________ 2015;399
10Ê175Ê139;08.04.2016 20:48;___ _________;0;_____ ______ 70;350
10Ê175Ê178;11.04.2016 10:56;___ _________;0;_____ ______ 50;300
10Ê174Ê558;11.04.2016 11:07;___ _________;0;_____ ______ 70;350
10Ê186Ê364;16.12.2016 11:19;_____ ______ 70;350;________ 99;399
10Ê175Ê205;11.04.2016 12:19;___ _________;0;_____ ______ 50;300
10Ê082Ê635;10.03.2016 11:18;___ _________;0;________ 2015;399
10Ê082Ê635;11.04.2016 12:24;________ 2015;399;_____ ______ 70;350
10Ê175Ê134;11.04.2016 12:37;___ _________;0;________ 2015;399
10Ê175Ê199;11.04.2016 12:42;___ _________;0;________ 2015;399
10Ê131Ê269;19.01.2015 19:42;___ _________;0;________;400
10Ê175Ê236;12.04.2016 9:58;___ _________;0;________ 2015;399
10Ê131Ê269;16.06.2016 9:35;________;400;___ _________;0
10Ê017Ê331;29.12.2014 14:39;______ _____ 500 _________;380;___________ 50;250
10Ê017Ê331;11.04.2016 12:56;___________ 50;250;___ _________;0
10Ê142Ê760;11.04.2016 13:01;___ _________;0;_____ ______ 70;350
10Ê175Ê206;11.04.2016 13:03;___ _________;0;_____ ______ 50;300
10Ê091Ê759;11.04.2016 13:50;___ _________;0;_____ ______ 50;300
10Ê175Ê106;11.04.2016 14:17;___ _________;0;_____ ______ 70;350
10Ê175Ê218;11.04.2016 14:18;___ _________;0;_____ ______ 50;300
10Ê034Ê746;11.04.2016 14:36;___ _________;0;___________ 50;250
10Ê175Ê175;11.04.2016 15:15;___ _________;0;________ 2015;399
10Ê183Ê324;13.10.2016 10:40;___ _________;0;________ 2015;399
10Ê058Ê487;11.04.2016 15:36;___ _________;0;_____ ______ 70;350
10Ê163Ê205;09.09.2015 16:57;___ _________;0;________ 2015;399
10Ê163Ê205;11.04.2016 15:42;________ 2015;399;___ _________;0
10Ê174Ê960;11.04.2016 15:42;___ _________;0;_____ ______ 50;300
10Ê098Ê646;04.04.2016 16:40;___ _________;0;_____ ______ 50;300
10Ê098Ê646;11.04.2016 15:48;_____ ______ 50;300;_________ 200;200
10Ê044Ê329;11.04.2016 16:38;___ _________;0;_____ ______ 50;300
10Ê175Ê217;11.04.2016 17:02;___ _________;0;________ 2015;399
10Ê173Ê461;05.03.2016 17:20;___ _________;0;________ 2015;399
10Ê173Ê461;11.04.2016 17:09;________ 2015;399;___ _________;0
10Ê173Ê461;11.04.2016 17:14;___ _________;0;________ 2015;399
10Ê100Ê176;26.04.2016 0:03;______ _____ 500 _________;380;_______ _______ 70;350
10Ê069Ê924;11.04.2016 18:49;___ _________;0;_____ ______ 50;300
10Ê175Ê031;11.04.2016 19:00;___ _________;0;_____ ______ 50;300
10Ê109Ê182;11.04.2016 20:00;___ _________;0;_____ ______ 50;300
10Ê175Ê181;11.04.2016 16:23;___ _________;0;_____ ______ 70;350
10Ê175Ê181;12.04.2016 9:58;_____ ______ 70;350;_____ ______ 50;300
10Ê163Ê741;12.04.2016 9:59;___ _________;0;_____ ______ 50;300
10Ê175Ê246;12.04.2016 10:08;___ _________;0;________ 2015;399
10Ê148Ê354;23.12.2014 17:12;___ _________;0;________;400
10Ê158Ê408;29.05.2015 15:13;___ _________;0;________;400
10Ê158Ê408;12.04.2016 10:15;________;400;___ _________;0
10Ê042Ê861;12.04.2016 10:55;___ _________;0;_____ ______ 50;300
10Ê175Ê151;12.04.2016 11:02;___ _________;0;_____ ______ 50;300
10Ê175Ê011;12.04.2016 11:35;___ _________;0;_____ ______ 50;300
10Ê124Ê376;21.12.2014 13:07;___ _________;0;________;400
10Ê001Ê375;12.04.2016 11:55;___ _________;0;_____ ______ 70;350
10Ê095Ê147;29.12.2015 19:27;___ _________;0;________ 2015;399
10Ê099Ê315;12.04.2016 12:27;___ _________;0;________ 2015;399
10Ê097Ê718;06.09.2016 12:57;___ _________;0;________;400
10Ê175Ê256;12.04.2016 12:59;___ _________;0;________ 2015;399
10Ê173Ê860;12.04.2016 13:14;___ _________;0;_____ ______ 70;350
10Ê175Ê169;12.04.2016 13:23;___ _________;0;_____ ______ 50;300
10Ê175Ê223;12.04.2016 13:33;___ _________;0;________ 2015;399
10Ê175Ê229;12.04.2016 15:21;___ _________;0;________ 2015;399
10Ê175Ê232;12.04.2016 15:40;___ _________;0;_____ ______ 50;300
10Ê146Ê703;10.07.2015 11:52;________;400;_____ ______ 70;350
10Ê146Ê703;12.04.2016 15:49;_____ ______ 70;350;___ _________;0
10Ê126Ê883;12.04.2016 15:50;___ _________;0;________;400
10Ê135Ê445;12.04.2016 17:42;___ _________;0;_____ ______ 70;350
10Ê069Ê462;07.09.2016 9:49;___ _________;0;________ 2015;399
10Ê018Ê893;12.04.2016 18:13;___ _________;0;________ 2015;399
10Ê034Ê207;12.04.2016 18:40;___ _________;0;________ 2015;399
10Ê132Ê039;12.04.2016 18:55;___ _________;0;_____ ______ 50;300
10Ê175Ê184;12.04.2016 19:15;___ _________;0;_____ ______ 50;300
10Ê175Ê255;12.04.2016 19:30;___ _________;0;________ 2015;399
10Ê148Ê354;13.04.2016 13:01;________;400;___ _________;0
10Ê173Ê214;01.03.2016 14:07;___ _________;0;_____ ______ 50;300
10Ê173Ê214;12.04.2016 21:09;_____ ______ 50;300;________ 2015;399
10Ê039Ê505;13.04.2016 13:09;___ _________;0;________ 2015;399
10Ê175Ê306;13.04.2016 13:21;___ _________;0;________ 2015;399
10Ê120Ê108;13.04.2016 13:31;___ _________;0;________ 2015;399
10Ê175Ê295;13.04.2016 13:50;___ _________;0;_____ ______ 50;300
10Ê100Ê176;05.01.2017 15:06;_______ _______ 70;350;___ _________;0
10Ê134Ê506;13.04.2016 15:17;___ _________;0;_____ ______ 50;300
10Ê037Ê600;14.04.2016 12:48;___ _________;0;_____ ______ 70;350
10Ê127Ê349;05.06.2015 17:10;___ _________;0;_____ ______ 50;300
10Ê127Ê349;13.04.2016 16:06;_____ ______ 50;300;___ _________;0
10Ê175Ê234;13.04.2016 16:47;___ _________;0;_____ ______ 50;300
10Ê175Ê207;13.04.2016 17:34;___ _________;0;_____ ______ 50;300
10Ê158Ê852;13.04.2016 17:37;___ _________;0;________ 2015;399
10Ê175Ê124;13.04.2016 17:39;___ _________;0;________ 2015;399
10Ê175Ê321;13.04.2016 18:28;___ _________;0;_____ ______ 70;350
10Ê036Ê173;13.04.2016 19:07;___ _________;0;_____ ______ 70;350
10Ê055Ê946;13.04.2016 19:34;___ _________;0;_____ ______ 50;300
10Ê118Ê665;01.09.2014 0:55;__600;600;________;400
